zip,seaport,landprice,oilreserve,existingplants,disasters,railroad,populationdensity,actual
93308,1,-1,2,3,1,3,1,Y
67460,1,-1,2,2,3,2,1,Y
78407,3,-1,3,3,1,3,1,Y
78401,3,-1,3,3,1,3,1,Y
70602,3,-1,3,3,1,3,1,Y
60406,3,-1,3,3,3,3,1,Y
62048,3,-1,3,2,3,2,1,Y
67337,3,-1,2,2,3,2,1,Y
80022,1,-1,2,2,3,2,1,Y
71018,3,-1,3,3,1,2,1,Y
47620,3,-1,2,2,3,2,1,Y
71762,3,-1,2,3,1,2,1,Y
58601,1,-1,2,2,3,2,1,Y
19706,3,-1,3,3,3,2,1,Y
75702,1,-1,3,2,1,3,1,Y
78071,1,-1,3,2,1,3,1,Y
76040,1,-1,3,2,1,3,1,Y
67042,1,-1,2,2,3,2,1,Y
79905,1,-1,3,2,1,3,1,Y
39183,3,-1,2,2,1,2,1,Y
26050,3,-1,3,2,1,2,1,Y
70669,3,-1,3,3,1,3,1,Y
77520,3,-1,3,3,1,3,1,Y
77701,3,-1,3,3,1,3,1,Y
59101,1,-1,2,3,3,2,1,Y
60410,3,-1,3,3,3,3,1,Y
70805,3,-1,2,3,1,2,1,Y
78409,3,-1,3,3,1,3,1,Y
99705,3,-1,2,2,1,2,1,Y
55068,3,-1,3,2,3,2,1,Y
50401,1,-1,3,2,3,2,1,Y
82007,1,-1,2,2,3,2,1,Y
87347,1,-1,2,2,3,2,1,Y
96707,3,-1,3,2,3,2,1,Y
76475,1,-1,3,2,1,3,1,Y
74107,3,-1,2,2,3,2,1,Y
77017,3,-1,3,3,1,3,1,Y
35401,3,-1,2,2,3,2,1,Y
39455,3,-1,2,2,1,2,1,Y
39477,2,-1,2,2,3,2,1,Y
99611,3,-1,2,2,1,2,1,Y
93307,1,-1,2,3,1,3,1,Y
77547,3,-1,3,3,1,3,1,Y
45804,1,-1,2,2,1,2,1,Y
820,3,-1,3,2,3,-1,1,Y
71730,3,-1,2,3,1,2,1,Y
90745,3,-1,2,3,1,3,1,Y
90744,3,-1,2,3,1,3,1,Y
90280,3,-1,2,3,1,3,1,Y
767,3,-1,3,2,3,-1,1,Y
7036,3,-1,3,2,1,2,1,Y
8066,3,-1,3,3,3,2,1,Y
8861,3,-1,3,2,1,2,1,Y
16344,3,-1,3,2,1,2,1,Y
16365,2,-1,3,3,1,2,1,Y
16701,2,-1,3,2,1,2,1,Y
19061,3,-1,3,3,3,2,1,Y
19145,3,-1,3,3,3,2,1,Y
36571,3,-1,2,2,3,2,1,Y
38109,3,-1,2,2,3,2,1,Y
39581,3,-1,2,2,3,2,1,Y
41129,3,-1,2,2,1,2,1,Y
42501,3,-1,2,2,3,2,1,Y
43616,3,-1,2,3,1,2,1,Y
44706,3,-1,3,2,1,2,1,Y
46394,3,-1,2,3,3,3,1,Y
48217,3,-1,2,3,1,2,1,Y
48802,3,-1,2,2,3,2,1,Y
54880,3,-1,3,2,3,2,1,Y
55071,3,-1,3,2,3,2,1,Y
58554,1,-1,2,2,3,2,1,Y
59044,1,-1,2,3,3,2,1,Y
59404,1,-1,2,2,3,2,1,Y
60439,3,-1,3,3,3,3,1,Y
62084,3,-1,3,2,3,2,1,Y
62454,1,-1,3,2,3,2,1,Y
70037,3,-1,2,3,1,2,1,Y
70044,3,-1,2,3,1,2,1,Y
70051,3,-1,2,3,1,2,1,Y
70075,3,-1,2,3,1,2,1,Y
70079,3,-1,2,3,1,2,1,Y
70087,3,-1,2,3,1,2,1,Y
70605,3,-1,3,3,1,3,1,Y
70615,3,-1,3,3,1,3,1,Y
70723,3,-1,2,3,1,2,1,Y
70750,3,-1,2,3,1,2,1,Y
70767,3,-1,2,3,1,2,1,Y
71109,3,-1,3,2,1,3,1,Y
71764,3,-1,2,3,1,2,1,Y
73098,1,-1,2,2,3,2,1,Y
73401,1,-1,3,2,1,3,1,Y
74602,1,-1,2,2,3,2,1,Y
76932,1,-1,3,2,1,3,1,Y
77012,3,-1,3,3,1,3,1,Y
77015,3,-1,3,3,1,3,1,Y
77463,3,-1,3,3,1,3,1,Y
77506,3,-1,3,3,1,3,1,Y
77536,3,-1,3,3,1,3,1,Y
77590,3,-1,3,3,1,3,1,Y
77640,3,-1,3,3,1,3,1,Y
77641,3,-1,3,3,1,3,1,Y
77642,3,-1,3,3,1,3,1,Y
77659,3,-1,3,3,1,3,1,Y
78112,1,-1,3,2,1,3,1,Y
78223,1,-1,3,2,1,3,1,Y
79008,1,-1,3,3,1,3,1,Y
79011,1,-1,3,2,1,3,1,Y
79059,1,-1,3,3,1,3,1,Y
79086,1,-1,3,2,1,3,1,Y
79562,1,-1,3,2,1,3,1,Y
79601,1,-1,3,2,1,3,1,Y
79721,1,-1,3,2,1,3,1,Y
82334,1,-1,2,2,3,2,1,Y
82636,1,-1,2,2,3,2,1,Y
82701,1,-1,2,2,1,2,1,Y
82930,1,-1,2,2,1,2,1,Y
84054,1,-1,2,3,1,2,1,Y
84087,1,-1,2,3,1,2,1,Y
84103,1,-1,2,3,1,2,1,Y
84116,1,-1,2,3,1,2,1,Y
87413,1,-1,2,2,3,2,1,Y
88211,1,-1,2,2,3,2,1,Y
88260,1,-1,3,2,1,2,1,Y
90245,3,-1,2,3,1,3,1,Y
90509,3,-1,2,3,1,3,1,Y
90723,3,-1,2,3,1,3,1,Y
90749,3,-1,2,3,1,3,1,Y
93420,3,-1,2,2,1,3,1,Y
94510,3,-1,2,3,1,3,1,Y
94553,3,-1,2,3,1,3,1,Y
94572,3,-1,2,3,1,3,1,Y
94801,3,-1,2,3,1,3,1,Y
98221,3,-1,3,3,3,2,1,Y
98230,3,-1,3,3,3,2,1,Y
98248,3,-1,3,3,3,2,1,Y
98421,3,-1,3,2,3,2,1,Y
99686,3,-1,2,2,1,2,1,Y
